API Well Number,Production Information,Formation Tops,Casing and Cementing,Hole Number,Well Name,Company Name,Well Type,Well Status,Objective Formation,Producing Formation,County,Town,Map Quadrangle,Quad Section Code,Field,Status Date,Permit Application Date,Permit Issued Date,Spud/Start Drilling Date,Total Depth Date,Well Completion Date,Plugging & Abandonment Date,Confidential Expiration Date,Confid. Period Type,Subject to Financial Security,Well Orientation,NYSDEC Region,State Lease,Proposed Total Depth,Surface Longitude,Surface Latitude,Bottom Hole Longitude,Bottom Hole Latitude,True Vertical Depth,Bottom Hole Total Measured Depth,Kickoff Depth,Drilled Depth,Proposed Well Type,Spacing,Spacing Acres,Integration,Hearing Date,Last Modified Date
31-003-00007-00-00 ,No,Yes,No,7,Norris EC-468,National Fuel Gas Supply Corporation,Storage,Active,Oriskany,Oriskany,Allegany,Willing,Whitesville,G,Beech Hill,12/31/2009,8/11/1980,8/18/1980,9/29/1980,10/24/1980,1/9/1981,,,Pre-1989 Well (N/A),1,Vertical,9,NA,5025,-77.85204,42.03885,-77.85204,42.03885,5036,5036,0,5036,Not Listed,,,,,4/26/2011
31-003-00259-00-00 ,No,Yes,Yes,259,Stout G (Wilson C) EC-483,National Fuel Gas Supply Corporation,Monitoring Storage,Active,Oriskany,Oriskany,Allegany,Willing,Whitesville,D,Beech Hill,,6/8/1987,7/8/1987,7/29/1977,8/16/1977,10/29/1937,,,Pre-1989 Well (N/A),1,Vertical,9,NA,5070,-77.8615,42.04878,-77.8615,42.04878,5079,5079,0,5079,Not Listed,Exempt - not an oil or gas well,,,,7/25/2018
31-003-00276-00-00 ,No,Yes,No,276,Lynch (Clark) EC-484,National Fuel Gas Supply Corporation,Storage,Active,Oriskany,Oriskany,Allegany,Willing,Whitesville,D,Beech Hill,12/31/2009,6/8/1987,7/8/1987,9/1/1977,9/16/1977,9/17/1939,,,Pre-1989 Well (N/A),1,Vertical,9,NA,4912,-77.84225,42.05518,-77.84225,42.05518,4943,4943,0,4943,Not Listed,,,,,4/26/2011
31-003-00399-00-00 ,No,Yes,No,399,Dannheim (Johnson) EC-481,National Fuel Gas Supply Corporation,Storage,Active,Oriskany,Oriskany,Allegany,Willing,Wellsville South,I,Beech Hill,12/31/2009,6/8/1987,7/8/1987,9/7/1977,9/16/1977,8/28/1980,,,Pre-1989 Well (N/A),1,Vertical,9,NA,4961,-77.88342,42.03862,-77.88342,42.03862,4990,4990,0,4990,Not Listed,,,,,4/26/2011
31-003-00435-00-00 ,No,Yes,No,435,Norris EC-467,National Fuel Gas Supply Corporation,Monitoring Storage,Active,Not Applicable,Oriskany,Allegany,Willing,Whitesville,G,Beech Hill,12/31/2009,8/11/1980,8/18/1980,8/27/1980,9/24/1980,1/9/1981,,,Pre-1989 Well (N/A),1,Vertical,9,NA,5050,-77.84895,42.0411,-77.84895,42.0411,5057,5057,0,5057,Not Listed,Exempt - not an oil or gas well,,,,4/26/2011
31-003-00446-00-00 ,No,Yes,No,446,Sc 472,Penn-York Energy Corp.,Dry Hole,Plugged and Abandoned,Oriskany,Not Applicable,Allegany,Willing,Whitesville,G,Beech Hill-Independence,8/26/1980,,8/13/1980,,,6/19/1939,8/26/1980,,Pre-1989 Well (N/A),0,Vertical,9,NA,0,-77.85848,42.03789,-77.85848,42.03789,4966,4966,0,4966,Not Listed,,,,,10/30/1998
31-003-00447-00-00 ,No,Yes,No,447,Foster (Riley Bros) EC-487,National Fuel Gas Supply Corporation,Storage,Active,Oriskany,Oriskany,Allegany,Willing,Whitesville,G,Beech Hill,12/31/2009,6/8/1987,7/8/1987,12/8/1977,1/25/1978,7/5/1938,,,Pre-1989 Well (N/A),0,Vertical,9,NA,4964,-77.85416,42.0361,-77.85416,42.0361,4911,4911,0,4911,Not Listed,,,,,4/26/2011
31-003-01805-00-00 ,No,Yes,No,1805,Cunninghan Nat Gas EC-477,National Fuel Gas Supply Corporation,Storage,Active,Not Applicable,Oriskany,Allegany,Willing,Whitesville,G,Beech Hill,12/31/2009,8/11/1980,8/18/1980,7/30/1980,8/10/1980,9/19/1980,,,Pre-1989 Well (N/A),1,Vertical,9,NA,5000,-77.86425,42.03608,-77.86425,42.03608,4975,4975,0,4975,Not Listed,,,,,4/26/2011
31-003-05461-00-00 ,No,Yes,No,5461,Vincent W-43,Ebenezer Oil Co. Inc.,Oil Development,Plugged and Abandoned,Not Applicable,Richburg,Allegany,Scio,Allentown,B,Richburg,8/16/1988,6/27/1988,7/7/1988,1/20/1968,2/14/1968,2/16/1968,8/16/1988,,Pre-1989 Well (N/A),0,Vertical,9,NA,1450,-78.07136,42.09979,-78.07136,42.09979,0,0,0,0,Not Listed,,,,,12/17/1998
31-003-05468-00-00 ,No,Yes,No,5468,Vincent W-44,Ebenezer Oil Co. Inc.,Oil Development,Plugged and Abandoned,Not Applicable,Richburg,Allegany,Scio,Allentown,B,Richburg,8/16/1988,,7/7/1988,2/13/1968,3/14/1968,3/14/1968,8/16/1988,,Pre-1989 Well (N/A),0,Vertical,9,NA,0,-78.07228,42.09979,-78.07228,42.09979,1448,1448,0,1448,Not Listed,,,,,1/25/1999
31-003-05486-00-00 ,No,Yes,No,5486,Vincent w-45,Ebenezer Oil Co. Inc.,Oil Development,Plugged and Abandoned,Not Applicable,Richburg,Allegany,Scio,Allentown,B,Richburg,8/17/1988,6/27/1988,7/7/1988,3/15/1968,4/11/1968,4/13/1968,8/17/1988,,Pre-1989 Well (N/A),0,Vertical,9,NA,1450,-78.06682,42.09913,-78.06682,42.09913,1443,1443,0,1443,Not Listed,,,,,12/17/1998
31-003-06633-00-00 ,No,Yes,No,6633,Vincent 46,Ebenezer Oil Co. Inc.,Oil Development,Plugged and Abandoned,Not Applicable,Upper Devonian,Allegany,Scio,Allentown,B,Richburg,9/29/1988,8/8/1988,8/22/1988,10/27/1968,11/20/1968,11/21/1968,9/29/1988,,Pre-1989 Well (N/A),0,Vertical,9,NA,1500,-78.0639,42.09283,-78.0639,42.09283,1496,1496,0,1496,Not Listed,,,,,12/21/1993
31-003-11408-00-00 ,No,Yes,No,11408,052 New Vincent,Ebenezer Oil Co. Inc.,Enhanced Oil Recovery - Injection,Plugged and Abandoned,Not Applicable,Richburg,Allegany,Scio,Allentown,B,Richburg,7/14/1988,4/24/1975,6/29/1988,5/1/1975,6/18/1975,6/21/1975,7/14/1988,,Pre-1989 Well (N/A),0,Vertical,9,NA,1450,-78.07313,42.10059,-78.07313,42.10059,1471,1471,0,1471,Not Listed,,,,,12/21/1993
31-003-11770-00-00 ,No,Yes,No,11770,Wildcat-New Vincent 053,Ebenezer Oil Co. Inc.,Oil Development,Plugged and Abandoned,Not Applicable,Richburg,Allegany,Scio,Allentown,B,Richburg,7/19/1988,12/1/1975,6/29/1988,12/4/1975,2/9/1976,2/12/1976,7/19/1988,,Pre-1989 Well (N/A),0,Vertical,9,NA,1450,-78.07108,42.10059,-78.07108,42.10059,1507,1507,0,1507,Not Listed,,,,,12/21/1993
31-003-11944-00-00 ,No,Yes,No,11944,Bloss 1,The Richardson Petroleum Corporation,Oil Development,Plugged and Abandoned,Fulmer Valley,Fulmer Valley,Allegany,Independence,Whitesville,F,Beech Hill-Independence,2/22/1989,,6/1/1983,2/8/1976,,4/6/1976,2/22/1989,,Pre-1989 Well (N/A),0,Vertical,9,NA,2100,-77.75562,42.07419,-77.75562,42.07419,2148,2148,0,2148,Oil Development,,,,,1/25/1999
31-003-11949-00-00 ,No,Yes,No,11949,New Vincent 54,Ebenezer Oil Co. Inc.,Enhanced Oil Recovery - Injection,Plugged and Abandoned,Not Applicable,Richburg,Allegany,Scio,Allentown,B,Richburg,7/20/1988,7/17/1976,6/29/1986,2/17/1976,3/30/1976,4/5/1976,7/20/1988,,Pre-1989 Well (N/A),0,Vertical,9,NA,0,-78.07036,42.10065,-78.07036,42.10065,1499,1499,0,1499,Not Listed,,,,,12/17/1998
31-003-12443-00-00 ,No,Yes,No,12443,Austin 120 48,The Richardson Petroleum Corporation,Oil Wildcat,Plugged and Abandoned,Not Applicable,Fulmer Valley,Allegany,Independence,Whitesville,F,Beech Hill-Independence,6/3/1991,,11/1/1981,11/16/1976,12/16/1976,12/27/1976,6/3/1991,,Pre-1989 Well (N/A),0,Vertical,9,NA,0,-77.7591,42.07851,-77.7591,42.07851,1848,1848,0,1848,Not Listed,,,,,2/9/1993
