   API Well Number, Well Name, Operator Name,Year,OIL (Bbls),GAS (Mcf),WATER (Bbls),Months in Production,Well Type, 
   31-029-01685-00-00  ,   ,  Iroquois Gas Corp.  ,2009,0.00,0.00,0.00,0,Gas Development, 
   31-003-66091-00-00  ,  01-18 Hemlock Lease  ,  Heather & Randy Iantorno Oil  ,2009,16.00,,5.00,12,Oil Development, 
   31-003-66061-00-00  ,  011-Godown  ,  Yahn & Yahn Inc.  ,2009,8.00,5.00,2.00,12,Enhanced Oil Recovery - Injection, 
   31-003-15652-00-00  ,  02-18 Hemlock Lease  ,  Heather & Randy Iantorno Oil  ,2009,16.00,,5.00,12,Oil Development, 
   31-003-12023-00-00  ,  023-Godown  ,  Wildcat Oil Producer LLC  ,2009,8.00,5.00,2.00,12,Oil Development, 
   31-003-15822-00-00  ,  03-18 Hemlock Lease  ,  Heather & Randy Iantorno Oil  ,2009,17.00,,5.00,12,Oil Development, 
   31-003-15823-00-00  ,  04-18 Hemlock Lease  ,  Heather & Randy Iantorno Oil  ,2009,17.00,,5.00,12,Oil Development, 
   31-003-15741-00-00  ,  05-18 Hemlock Lease  ,  Heather & Randy Iantorno Oil  ,2009,18.00,,5.00,12,Oil Development, 
   31-003-16402-00-00  ,  06-18 Hemlock Lease  ,  Bull Dog Oil  ,2009,140.00,,30.00,12,Oil Wildcat, 
   31-013-11786-00-00  ,  09 Pagano  ,  Greenridge Oil Company LLC  ,2009,0.00,102.00,0.00,2,Gas Extension, 
   31-003-12014-00-00  ,  09-Godown  ,  Wildcat Oil Producer LLC  ,2009,8.00,5.00,2.00,12,Oil Development, 
   31-013-13692-00-00  ,  1 Briggs  ,  Williams Cynthia L.  ,2009,0.00,250.00,0.00,12,Gas Development, 
   31-003-12851-00-00  ,  1 C & F Clark  ,  Nathan Petroleum Corporation  ,2009,0.00,545.00,0.00,12,Oil Development, 
   31-003-17961-00-00  ,  1 E & M Smith  ,  Klein Oil & Logging  ,2009,67.00,0.00,3.00,12,Oil Development, 
   31-003-12466-00-00  ,  1 Givens 1  ,  Moon Dog Hunting Camp Inc  ,2009,0.00,0.00,0.00,0,Oil Development, 
