   API Well Number, Well Name, Operator Name,Year,OIL (Bbls),GAS (Mcf),WATER (Bbls),Months in Production,Well Type, 
   31-013-11786-00-00  ,  09 Pagano  ,  Greenridge Oil Company LLC  ,1999,0.00,2272.00,0.00,12, GD , 
   31-013-13692-00-00  ,  1 Briggs  ,  Williams Cynthia L.  ,1999,0.00,0.00,0.00,12, GD , 
   31-029-14325-00-00  ,  1 H M Foundations  ,  NLC Newstead Holdings LLC  ,1999,0.00,0.00,0.00,0, GD , 
   31-029-14529-00-00  ,  1 Heintz  ,  Weil Resources Inc.  ,1999,0.00,9057.00,0.00,12, GD , 
   31-013-15982-00-00  ,  1 Maple  ,  Bemus Point Central School District  ,1999,0.00,1000.00,0.00,12, GD , 
   31-029-13054-00-00  ,  1 Rudnick  ,  Basinski Gerald S.  ,1999,0.00,0.00,0.00,12, GD , 
   31-029-12800-00-00  ,  1 Wilson Great Batch  ,  Greatbatch Ltd.  ,1999,0.00,328.00,1.00,12, GD , 
   31-013-13754-00-00  ,  1022 Cook  ,  Cotton Well Drilling Company Inc.  ,1999,0.00,425.00,0.00,12, GD , 
   31-013-10470-00-00  ,  13 Miller  ,  Baker Jessup J.  ,1999,0.00,0.00,0.00,12, GD , 
   31-013-11952-00-00  ,  14 McAllister  ,  Greenridge Oil Company LLC  ,1999,0.00,1316.00,0.00,12, GD , 
   31-013-12947-00-00  ,  2 Joint Venture  ,  Cotton Well Drilling Company Inc.  ,1999,0.00,0.00,0.00,0, GD , 
   31-029-13012-00-00  ,  2 Winter's  ,  Winter Marvin J.  ,1999,0.00,400.00,0.00,12, GD , 
   31-013-18724-00-00  ,  21205 Wiggers  ,  PPP Future Development Inc.  ,1999,0.00,2905.00,90.00,12, GD , 
   31-013-13064-00-00  ,  27 Castile 2  ,  P&H Gas LLC  ,1999,0.00,629.00,0.00,12, GD , 
   31-013-12948-00-00  ,  3 Joint Venture  ,  Cotton Well Drilling Company Inc.  ,1999,0.00,0.00,0.00,0, GD , 
   31-013-14388-00-00  ,  3118 Ferro Alloy  ,  Stedman Energy Inc.  ,1999,0.00,612.00,130.00,12, GD , 
   31-013-14389-00-00  ,  3119 Ferro Alloy  ,  Stedman Energy Inc.  ,1999,0.00,1724.00,135.00,12, GD , 
   31-013-14390-00-00  ,  3120 Ferro Alloy  ,  Stedman Energy Inc.  ,1999,0.00,1046.00,195.00,12, GD , 
   31-013-14393-00-00  ,  3124 Warnshius  ,  Stedman Energy Inc.  ,1999,0.00,70.00,0.00,8, GD , 
   31-013-14394-00-00  ,  3125 Besch  ,  Cotton Well Drilling Company Inc.  ,1999,0.00,121.00,0.00,9, GD , 
   31-013-14395-00-00  ,  3126 Besch  ,  Cotton Well Drilling Company Inc.  ,1999,0.00,1234.00,0.00,12, GD , 
   31-013-14396-00-00  ,  3127 Besch  ,  Cotton Well Drilling Company Inc.  ,1999,0.00,2367.00,160.00,12, GD , 
   31-013-14771-00-00  ,  3129 Sweetman  ,  Cotton Well Drilling Company Inc.  ,1999,0.00,1858.00,0.00,12, GD , 
   31-013-14399-00-00  ,  3130 Sweetman  ,  Cotton Well Drilling Company Inc.  ,1999,0.00,102.00,0.00,9, GD , 
   31-013-14400-00-00  ,  3131 Thompson  ,  Cotton Well Drilling Company Inc.  ,1999,0.00,1244.00,310.00,12, GD , 
   31-013-14401-00-00  ,  3132 Thompson  ,  Cotton Well Drilling Company Inc.  ,1999,0.00,3132.00,65.00,12, GD , 
   31-013-14402-00-00  ,  3133 Mason  ,  Cotton Well Drilling Company Inc.  ,1999,0.00,3133.00,0.00,12, GD , 
   31-013-14406-00-00  ,  3136 Meaney  ,  Cotton Well Drilling Company Inc.  ,1999,0.00,601.00,0.00,12, GD , 
   31-013-14405-00-00  ,  3137 Meaney  ,  Cotton Well Drilling Company Inc.  ,1999,0.00,827.00,210.00,12, GD , 
   31-013-15015-00-00  ,  3144 Stroebel (Weise)  ,  Weise Russell A. Jr. & Kay P.  ,1999,0.00,350.00,0.00,12, GD , 
   31-013-15029-00-00  ,  3146 Smith  ,  Stedman Energy Inc.  ,1999,0.00,622.00,50.00,12, GD , 
   31-013-15030-00-00  ,  3147 Smith  ,  Stedman Energy Inc.  ,1999,0.00,1414.00,0.00,12, GD , 
   31-013-14604-00-00  ,  3150 Brown  ,  Kettlebrook Energy Inc.  ,1999,0.00,900.00,40.00,12, GD , 
   31-013-14607-00-00  ,  3153 Brown  ,  Kettlebrook Energy Inc.  ,1999,0.00,900.00,30.00,12, GD , 
   31-013-14608-00-00  ,  3154 Brown  ,  Kettlebrook Energy Inc.  ,1999,0.00,800.00,25.00,12, GD , 
   31-013-14609-00-00  ,  3155 Brown  ,  Kettlebrook Energy Inc.  ,1999,0.00,810.00,30.00,12, GD , 
   31-013-12950-00-00  ,  5 Joint Venture  ,  Cotton Well Drilling Company Inc.  ,1999,0.00,0.00,0.00,0, GD , 
   31-013-13878-00-00  ,  5000 Salhoff  ,  Cotton Well Drilling Company Inc.  ,1999,0.00,1178.00,85.00,12, GD , 
   31-013-13879-00-00  ,  5001 Salhoff  ,  Cotton Well Drilling Company Inc.  ,1999,0.00,1008.00,85.00,12, GD , 
   31-013-17947-00-00  ,  A Carlson Unit 1  ,  PPP Future Development Inc.  ,1999,0.00,707.00,0.00,12, GD , 
   31-013-17749-00-00  ,  A Fairbanks 1  ,  Cotton Well Drilling Company Inc.  ,1999,0.00,0.00,0.00,0, GD , 
   31-009-18071-00-00  ,  A Lumber 1  ,  Greenway Energy LLC  ,1999,0.00,0.00,0.00,0, GD , 
   31-029-17791-00-00  ,  A Mammoser 1  ,  Cotton Well Drilling Company Inc.  ,1999,0.00,45.00,0.00,4, GD , 
   31-029-18665-00-00  ,  A Mammoser 3  ,  Cotton Well Drilling Company Inc.  ,1999,0.00,35.00,0.00,3, GD , 
   31-009-17835-00-00  ,  A Rote 1  ,  Greenway Energy LLC  ,1999,0.00,1574.00,0.00,12, GD , 
   31-009-17888-00-00  ,  A Schlegel 1  ,  Greenway Energy LLC  ,1999,0.00,1994.00,0.00,12, GD , 
   31-029-20032-00-00  ,  A. Domin 1  ,  Stedman Energy Inc.  ,1999,0.00,1662.00,75.00,11, GD , 
   31-029-15591-00-00  ,  A. Eldridge 1  ,  Stedman Energy Inc.  ,1999,0.00,1766.00,0.00,11, GD , 
   31-013-19806-00-00  ,  A. Gage 1  ,  Gage Charles J.  ,1999,0.00,0.00,0.00,12, GD , 
   31-029-18868-00-00  ,  A. Sessana 1  ,  Cotton Well Drilling Company Inc.  ,1999,0.00,101.00,0.00,8, GD , 
   31-029-19890-00-00  ,  Abagnale 1  ,  Stedman Energy Inc.  ,1999,0.00,555.00,50.00,12, GD , 
   31-013-18241-00-00  ,  Abbey 1  ,  PPP Future Development Inc.  ,1999,0.00,1272.00,0.00,12, GD , 
   31-013-18216-00-00  ,  Abbey 2  ,  PPP Future Development Inc.  ,1999,0.00,329.00,0.00,12, GD , 
   31-013-18215-00-00  ,  Abbey 3  ,  PPP Future Development Inc.  ,1999,0.00,0.00,0.00,0, GD , 
