   API Well Number, Well Name, Operator Name,Year,OIL (Bbls),GAS (Mcf),WATER (Bbls),Months in Production,Well Type, 
   31-013-11786-00-00  ,  09 Pagano  ,  Greenridge Oil Company LLC  ,1991,0.00,2600.00,0.00,12, GD , 
   31-013-13692-00-00  ,  1 Briggs  ,  Williams Cynthia L.  ,1991,0.00,280.00,1.00,5, GD , 
   31-121-15933-00-00  ,  1 Fee  ,  Perry Central Schools  ,1991,0.00,46.00,0.00,0, GD , 
   31-029-12621-00-00  ,  1 Fee Well  ,  Exolon-Esk Co.  ,1991,0.00,0.00,0.00,0, GD , 
   31-029-14325-00-00  ,  1 H M Foundations  ,  NLC Newstead Holdings LLC  ,1991,0.00,0.00,0.00,0, GD , 
   31-029-14529-00-00  ,  1 Heintz  ,  Weil Resources Inc.  ,1991,0.00,11060.00,1.00,12, GD , 
   31-013-15982-00-00  ,  1 Maple  ,  Bemus Point Central School District  ,1991,0.00,4325.00,0.00,12, GD , 
   31-029-13054-00-00  ,  1 Rudnick  ,  Basinski Gerald S.  ,1991,0.00,1336.00,1.00,12, GD , 
   31-009-66112-00-00  ,  1 Well  ,  EWP Lumber Inc.  ,1991,0.00,0.00,0.00,0, OD , 
   31-029-12800-00-00  ,  1 Wilson Great Batch  ,  Greatbatch Ltd.  ,1991,0.00,516.00,0.00,12, GD , 
   31-013-13754-00-00  ,  1022 Cook  ,  Cotton Well Drilling Company Inc.  ,1991,0.00,100.00,0.00,12,Not Listed, 
   31-013-10470-00-00  ,  13 Miller  ,  Baker Jessup J.  ,1991,0.00,0.00,0.00,0, GD , 
   31-013-11952-00-00  ,  14 McAllister  ,  Greenridge Oil Company LLC  ,1991,0.00,1562.00,0.00,12, GD , 
   31-013-12947-00-00  ,  2 Joint Venture  ,  Cotton Well Drilling Company Inc.  ,1991,0.00,0.00,0.00,0, GD , 
   31-009-66113-00-00  ,  2 Well  ,  EWP Lumber Inc.  ,1991,0.00,0.00,0.00,0, OD , 
   31-029-13012-00-00  ,  2 Winter's  ,  Winter Marvin J.  ,1991,0.00,1.00,0.00,0, GD , 
   31-013-18724-00-00  ,  21205 Wiggers  ,  PPP Future Development Inc.  ,1991,0.00,4635.00,10.00,11, GD , 
   31-013-18575-00-00  ,  21213 Bennink  ,  Columbia Gas Transmission LLC  ,1991,0.00,0.00,0.00,0, GD , 
   31-013-13064-00-00  ,  27 Castile 2  ,  P&H Gas LLC  ,1991,0.00,919.00,0.00,12, GD , 
   31-013-12948-00-00  ,  3 Joint Venture  ,  Cotton Well Drilling Company Inc.  ,1991,0.00,33.00,0.00,3, GD , 
   31-009-66114-00-00  ,  3 Well  ,  EWP Lumber Inc.  ,1991,0.00,0.00,0.00,0, OD , 
   31-013-14388-00-00  ,  3118 Ferro Alloy  ,  Stedman Energy Inc.  ,1991,0.00,213.00,0.00,8, GD , 
   31-013-14389-00-00  ,  3119 Ferro Alloy  ,  Stedman Energy Inc.  ,1991,0.00,344.00,0.00,8, GD , 
   31-013-14390-00-00  ,  3120 Ferro Alloy  ,  Stedman Energy Inc.  ,1991,0.00,392.00,0.00,8, GD , 
   31-013-14393-00-00  ,  3124 Warnshius  ,  Stedman Energy Inc.  ,1991,0.00,224.00,0.00,12, GD , 
   31-013-14394-00-00  ,  3125 Besch  ,  Cotton Well Drilling Company Inc.  ,1991,0.00,105.00,0.00,12, GD , 
   31-013-14395-00-00  ,  3126 Besch  ,  Cotton Well Drilling Company Inc.  ,1991,0.00,269.00,0.00,9, GD , 
   31-013-14396-00-00  ,  3127 Besch  ,  Cotton Well Drilling Company Inc.  ,1991,0.00,935.00,0.00,12, GD , 
   31-013-14771-00-00  ,  3129 Sweetman  ,  Cotton Well Drilling Company Inc.  ,1991,0.00,1719.00,0.00,12, GD , 
   31-013-14399-00-00  ,  3130 Sweetman  ,  Cotton Well Drilling Company Inc.  ,1991,0.00,2151.00,40.00,12, GD , 
   31-013-14400-00-00  ,  3131 Thompson  ,  Cotton Well Drilling Company Inc.  ,1991,0.00,2068.00,0.00,12, GD , 
   31-013-14401-00-00  ,  3132 Thompson  ,  Cotton Well Drilling Company Inc.  ,1991,0.00,319.00,0.00,11, GD , 
   31-013-14402-00-00  ,  3133 Mason  ,  Cotton Well Drilling Company Inc.  ,1991,0.00,1102.00,0.00,11, GD , 
   31-013-14406-00-00  ,  3136 Meaney  ,  Cotton Well Drilling Company Inc.  ,1991,0.00,1598.00,0.00,11, GD , 
   31-013-14405-00-00  ,  3137 Meaney  ,  Cotton Well Drilling Company Inc.  ,1991,0.00,912.00,0.00,11, GD , 
   31-013-15015-00-00  ,  3144 Stroebel (Weise)  ,  Weise Russell A. Jr. & Kay P.  ,1991,0.00,3193.00,0.00,12, GD , 
   31-013-14604-00-00  ,  3150 Brown  ,  Kettlebrook Energy Inc.  ,1991,0.00,634.00,0.00,3, GD , 
   31-013-14607-00-00  ,  3153 Brown  ,  Kettlebrook Energy Inc.  ,1991,0.00,199.00,0.00,5, GD , 
   31-013-14608-00-00  ,  3154 Brown  ,  Kettlebrook Energy Inc.  ,1991,0.00,199.00,0.00,5, GD , 
   31-013-14609-00-00  ,  3155 Brown  ,  Kettlebrook Energy Inc.  ,1991,0.00,200.00,55.00,5, GD , 
   31-009-66115-00-00  ,  4 Well  ,  EWP Lumber Inc.  ,1991,0.00,0.00,0.00,0, OD , 
   31-013-12950-00-00  ,  5 Joint Venture  ,  Cotton Well Drilling Company Inc.  ,1991,0.00,64.00,0.00,4, GD , 
   31-013-13878-00-00  ,  5000 Salhoff  ,  Cotton Well Drilling Company Inc.  ,1991,0.00,1164.00,110.00,12, GD , 
   31-013-13879-00-00  ,  5001 Salhoff  ,  Cotton Well Drilling Company Inc.  ,1991,0.00,1164.00,120.00,12, GD , 
   31-013-17947-00-00  ,  A Carlson Unit 1  ,  PPP Future Development Inc.  ,1991,0.00,662.00,1.00,10, GD , 
   31-013-17749-00-00  ,  A Fairbanks 1  ,  Cotton Well Drilling Company Inc.  ,1991,0.00,669.00,40.00,12, GD , 
   31-009-18071-00-00  ,  A Lumber 1  ,  Greenway Energy LLC  ,1991,0.00,982.00,0.00,6, GD , 
   31-029-17791-00-00  ,  A Mammoser 1  ,  Cotton Well Drilling Company Inc.  ,1991,0.00,643.00,0.00,12, GD , 
   31-029-18665-00-00  ,  A Mammoser 3  ,  Cotton Well Drilling Company Inc.  ,1991,0.00,643.00,0.00,12, GD , 
   31-009-17835-00-00  ,  A Rote 1  ,  Greenway Energy LLC  ,1991,0.00,502.00,0.00,4, GD , 
   31-009-17888-00-00  ,  A Schlegel 1  ,  Greenway Energy LLC  ,1991,0.00,7792.00,0.00,12, GD , 
   31-029-15591-00-00  ,  A. Eldridge 1  ,  Stedman Energy Inc.  ,1991,0.00,1291.00,0.00,7, GD , 
   31-013-19806-00-00  ,  A. Gage 1  ,  Gage Charles J.  ,1991,0.00,0.00,0.00,0, GD , 
   31-029-18868-00-00  ,  A. Sessana 1  ,  Cotton Well Drilling Company Inc.  ,1991,0.00,1261.00,18.00,12, GD , 
