   API Well Number, Well Name, Operator Name,Year,OIL (Bbls),GAS (Mcf),WATER (Bbls),Months in Production,Well Type, 
   31-013-11786-00-00  ,  09 Pagano  ,  Greenridge Oil Company LLC  ,1990,0.00,3633.00,0.00,12, GD , 
   31-013-13692-00-00  ,  1 Briggs  ,  Williams Cynthia L.  ,1990,0.00,559.00,1.00,8, GD , 
   31-121-15933-00-00  ,  1 Fee  ,  Perry Central Schools  ,1990,0.00,513.00,0.00,2, GD , 
   31-029-12621-00-00  ,  1 Fee Well  ,  Exolon-Esk Co.  ,1990,0.00,0.00,0.00,0, GD , 
   31-029-14325-00-00  ,  1 H M Foundations  ,  NLC Newstead Holdings LLC  ,1990,0.00,0.00,0.00,0, GD , 
   31-029-14529-00-00  ,  1 Heintz  ,  Weil Resources Inc.  ,1990,0.00,12137.00,1.00,12, GD , 
   31-013-15982-00-00  ,  1 Maple  ,  Bemus Point Central School District  ,1990,0.00,414.00,0.00,12, GD , 
   31-029-13054-00-00  ,  1 Rudnick  ,  Basinski Gerald S.  ,1990,0.00,1542.00,1.00,12, GD , 
   31-029-12800-00-00  ,  1 Wilson Great Batch  ,  Greatbatch Ltd.  ,1990,0.00,461.00,0.00,12, GD , 
   31-013-14166-00-00  ,  1 Wolfe  ,  Lenape Resources Corp. The  ,1990,0.00,0.00,80.00,0, GD , 
   31-013-13754-00-00  ,  1022 Cook  ,  Cotton Well Drilling Company Inc.  ,1990,0.00,0.00,0.00,0, GD , 
   31-013-10470-00-00  ,  13 Miller  ,  Baker Jessup J.  ,1990,0.00,0.00,0.00,0, GD , 
   31-013-11952-00-00  ,  14 McAllister  ,  Greenridge Oil Company LLC  ,1990,0.00,1991.00,0.00,12, GD , 
   31-013-12947-00-00  ,  2 Joint Venture  ,  Cotton Well Drilling Company Inc.  ,1990,0.00,0.00,0.00,0, GD , 
   31-013-18724-00-00  ,  21205 Wiggers  ,  PPP Future Development Inc.  ,1990,0.00,2951.00,75.00,12, GD , 
   31-013-18575-00-00  ,  21213 Bennink  ,  Columbia Gas Transmission LLC  ,1990,65.00,0.00,0.00,1, GD , 
   31-013-13064-00-00  ,  27 Castile 2  ,  P&H Gas LLC  ,1990,0.00,1115.00,0.00,12, GD , 
   31-013-12948-00-00  ,  3 Joint Venture  ,  Cotton Well Drilling Company Inc.  ,1990,0.00,130.00,0.00,8, GD , 
   31-013-14388-00-00  ,  3118 Ferro Alloy  ,  Stedman Energy Inc.  ,1990,0.00,173.00,50.00,12, GD , 
   31-013-14389-00-00  ,  3119 Ferro Alloy  ,  Stedman Energy Inc.  ,1990,0.00,589.00,125.00,12, GD , 
   31-013-14390-00-00  ,  3120 Ferro Alloy  ,  Stedman Energy Inc.  ,1990,0.00,1074.00,70.00,12, GD , 
   31-013-14393-00-00  ,  3124 Warnshius  ,  Stedman Energy Inc.  ,1990,0.00,494.00,30.00,10, GD , 
   31-013-14394-00-00  ,  3125 Besch  ,  Cotton Well Drilling Company Inc.  ,1990,0.00,245.00,0.00,12, GD , 
   31-013-14395-00-00  ,  3126 Besch  ,  Cotton Well Drilling Company Inc.  ,1990,0.00,1054.00,65.00,12, GD , 
   31-013-14396-00-00  ,  3127 Besch  ,  Cotton Well Drilling Company Inc.  ,1990,0.00,3059.00,70.00,12, GD , 
   31-013-14771-00-00  ,  3129 Sweetman  ,  Cotton Well Drilling Company Inc.  ,1990,0.00,3518.00,45.00,12, GD , 
   31-013-14399-00-00  ,  3130 Sweetman  ,  Cotton Well Drilling Company Inc.  ,1990,0.00,3226.00,0.00,12, GD , 
