   API Well Number, Well Name, Operator Name,Year,OIL (Bbls),GAS (Mcf),WATER (Bbls),Months in Production,Well Type, 
   31-013-11786-00-00  ,  09 Pagano  ,  Greenridge Oil Company LLC  ,1988,0.00,3520.00,60.00,6, GD , 
   31-013-13692-00-00  ,  1 Briggs  ,  Williams Cynthia L.  ,1988,0.00,1159.00,0.00,12, GD , 
   31-029-12621-00-00  ,  1 Fee Well  ,  Exolon-Esk Co.  ,1988,0.00,0.00,0.00,0, GD , 
   31-029-14325-00-00  ,  1 H M Foundations  ,  NLC Newstead Holdings LLC  ,1988,0.00,0.00,0.00,0, GD , 
   31-029-14529-00-00  ,  1 Heintz  ,  Weil Resources Inc.  ,1988,0.00,13914.00,0.00,12, GD , 
   31-013-15982-00-00  ,  1 Maple  ,  Bemus Point Central School District  ,1988,0.00,432.00,0.00,12, GD , 
   31-029-12800-00-00  ,  1 Wilson Great Batch  ,  Greatbatch Ltd.  ,1988,0.00,434.00,0.00,12, GD , 
   31-013-14166-00-00  ,  1 Wolfe  ,  Lenape Resources Corp. The  ,1988,0.00,14.00,0.00,2, GD , 
   31-013-13754-00-00  ,  1022 Cook  ,  Cotton Well Drilling Company Inc.  ,1988,0.00,348.00,0.00,0, GD , 
   31-013-10470-00-00  ,  13 Miller  ,  Baker Jessup J.  ,1988,0.00,0.00,0.00,0, GD , 
   31-013-11952-00-00  ,  14 McAllister  ,  Greenridge Oil Company LLC  ,1988,0.00,2256.00,0.00,6, GD , 
   31-013-12947-00-00  ,  2 Joint Venture  ,  Cotton Well Drilling Company Inc.  ,1988,0.00,11401.00,0.00,9, GD , 
   31-013-18724-00-00  ,  21205 Wiggers  ,  PPP Future Development Inc.  ,1988,0.00,5198.00,70.00,9, GD , 
   31-013-18575-00-00  ,  21213 Bennink  ,  Columbia Gas Transmission LLC  ,1988,425.00,1514.00,1600.00,3, OD , 
   31-013-13064-00-00  ,  27 Castile 2  ,  P&H Gas LLC  ,1988,0.00,3112.00,20.00,6, GD , 
   31-013-12948-00-00  ,  3 Joint Venture  ,  Cotton Well Drilling Company Inc.  ,1988,0.00,18107.00,0.00,10, GD , 
   31-013-14388-00-00  ,  3118 Ferro Alloy  ,  Stedman Energy Inc.  ,1988,0.00,12.00,0.00,0, GD , 
   31-013-14389-00-00  ,  3119 Ferro Alloy  ,  Stedman Energy Inc.  ,1988,0.00,19.00,0.00,0, GD , 
   31-013-14390-00-00  ,  3120 Ferro Alloy  ,  Stedman Energy Inc.  ,1988,0.00,80.00,0.00,0, GD , 
   31-013-14393-00-00  ,  3124 Warnshius  ,  Stedman Energy Inc.  ,1988,0.00,38.00,0.00,0, GD , 
   31-013-14394-00-00  ,  3125 Besch  ,  Cotton Well Drilling Company Inc.  ,1988,0.00,330.00,0.00,0, GD , 
   31-013-14395-00-00  ,  3126 Besch  ,  Cotton Well Drilling Company Inc.  ,1988,0.00,34.00,0.00,0, GD , 
   31-013-14396-00-00  ,  3127 Besch  ,  Cotton Well Drilling Company Inc.  ,1988,0.00,1103.00,0.00,0, GD , 
   31-013-14771-00-00  ,  3129 Sweetman  ,  Cotton Well Drilling Company Inc.  ,1988,0.00,1078.00,0.00,0, GD , 
   31-013-14399-00-00  ,  3130 Sweetman  ,  Cotton Well Drilling Company Inc.  ,1988,0.00,894.00,0.00,0, GD , 
   31-013-14400-00-00  ,  3131 Thompson  ,  Cotton Well Drilling Company Inc.  ,1988,0.00,99.00,0.00,0, GD , 
   31-013-14401-00-00  ,  3132 Thompson  ,  Cotton Well Drilling Company Inc.  ,1988,0.00,46.00,0.00,0, GD , 
   31-013-14402-00-00  ,  3133 Mason  ,  Cotton Well Drilling Company Inc.  ,1988,0.00,28.00,0.00,0, GD , 
   31-013-14406-00-00  ,  3136 Meaney  ,  Cotton Well Drilling Company Inc.  ,1988,0.00,81.00,0.00,0, GD , 
   31-013-14405-00-00  ,  3137 Meaney  ,  Cotton Well Drilling Company Inc.  ,1988,0.00,1054.00,0.00,0, GD , 
   31-013-15015-00-00  ,  3144 Stroebel (Weise)  ,  Weise Russell A. Jr. & Kay P.  ,1988,0.00,0.00,0.00,0, GD , 
   31-013-15029-00-00  ,  3146 Smith  ,  Stedman Energy Inc.  ,1988,0.00,855.00,0.00,0, GD , 
   31-013-15030-00-00  ,  3147 Smith  ,  Stedman Energy Inc.  ,1988,0.00,937.00,0.00,0, GD , 
   31-013-14604-00-00  ,  3150 Brown  ,  Kettlebrook Energy Inc.  ,1988,0.00,274.00,0.00,0, GD , 
   31-013-14607-00-00  ,  3153 Brown  ,  Kettlebrook Energy Inc.  ,1988,0.00,445.00,0.00,0, GD , 
   31-013-14608-00-00  ,  3154 Brown  ,  Kettlebrook Energy Inc.  ,1988,0.00,316.00,0.00,0, GD , 
   31-013-14609-00-00  ,  3155 Brown  ,  Kettlebrook Energy Inc.  ,1988,0.00,419.00,0.00,0, GD , 
   31-013-12950-00-00  ,  5 Joint Venture  ,  Cotton Well Drilling Company Inc.  ,1988,0.00,12366.00,0.00,11, GD , 
   31-013-13878-00-00  ,  5000 Salhoff  ,  Cotton Well Drilling Company Inc.  ,1988,0.00,226.00,0.00,0, GD , 
   31-013-13879-00-00  ,  5001 Salhoff  ,  Cotton Well Drilling Company Inc.  ,1988,0.00,259.00,0.00,0, GD , 
   31-013-17749-00-00  ,  A Fairbanks 1  ,  Cotton Well Drilling Company Inc.  ,1988,0.00,448.00,0.00,11, GD , 
   31-009-18071-00-00  ,  A Lumber 1  ,  Greenway Energy LLC  ,1988,0.00,2133.00,0.00,12, GD , 
   31-029-17791-00-00  ,  A Mammoser 1  ,  Cotton Well Drilling Company Inc.  ,1988,0.00,646.00,15.00,11, GD , 
   31-029-18665-00-00  ,  A Mammoser 3  ,  Cotton Well Drilling Company Inc.  ,1988,0.00,645.00,0.00,11, GD , 
   31-009-17835-00-00  ,  A Rote 1  ,  Greenway Energy LLC  ,1988,0.00,1567.00,0.00,10, GD , 
   31-009-17888-00-00  ,  A Schlegel 1  ,  Greenway Energy LLC  ,1988,0.00,25394.00,0.00,10, GD , 
   31-029-20032-00-00  ,  A. Domin 1  ,  Stedman Energy Inc.  ,1988,0.00,1533.00,0.00,0, GD , 
   31-029-15591-00-00  ,  A. Eldridge 1  ,  Stedman Energy Inc.  ,1988,0.00,2928.00,0.00,12, GD , 
   31-013-19806-00-00  ,  A. Gage 1  ,  Gage Charles J.  ,1988,0.00,0.00,0.00,0, GD , 
   31-029-18868-00-00  ,  A. Sessana 1  ,  Cotton Well Drilling Company Inc.  ,1988,0.00,1136.00,0.00,12, GD , 
