   API Well Number, Well Name, Operator Name,Year,OIL (Bbls),GAS (Mcf),WATER (Bbls),Months in Production,Well Type, 
   31-013-11786-00-00  ,  09 Pagano  ,  Greenridge Oil Company LLC  ,1987,0.00,3718.00,0.00,12,Not Listed, 
   31-013-13692-00-00  ,  1 Briggs  ,  Williams Cynthia L.  ,1987,0.00,1069.00,0.00,12,Not Listed, 
   31-121-15933-00-00  ,  1 Fee  ,  Perry Central Schools  ,1987,0.00,110.00,0.00,0,Not Listed, 
   31-029-12621-00-00  ,  1 Fee Well  ,  Exolon-Esk Co.  ,1987,0.00,0.00,0.00,0,Not Listed, 
   31-029-14529-00-00  ,  1 Heintz  ,  Weil Resources Inc.  ,1987,0.00,7804.00,0.00,12,Not Listed, 
   31-013-15982-00-00  ,  1 Maple  ,  Bemus Point Central School District  ,1987,0.00,1597.00,0.00,0,Not Listed, 
   31-029-13054-00-00  ,  1 Rudnick  ,  Basinski Gerald S.  ,1987,0.00,68.00,0.00,3,Not Listed, 
   31-029-12800-00-00  ,  1 Wilson Great Batch  ,  Greatbatch Ltd.  ,1987,0.00,595.00,1.00,12,Not Listed, 
   31-013-14166-00-00  ,  1 Wolfe  ,  Lenape Resources Corp. The  ,1987,0.00,1356.00,0.00,12,Not Listed, 
   31-013-13754-00-00  ,  1022 Cook  ,  Cotton Well Drilling Company Inc.  ,1987,0.00,689.00,0.00,10,Not Listed, 
   31-013-10470-00-00  ,  13 Miller  ,  Baker Jessup J.  ,1987,0.00,0.00,0.00,0,Not Listed, 
   31-013-11952-00-00  ,  14 McAllister  ,  Greenridge Oil Company LLC  ,1987,0.00,2638.00,0.00,12,Not Listed, 
   31-013-12947-00-00  ,  2 Joint Venture  ,  Cotton Well Drilling Company Inc.  ,1987,0.00,21517.00,140.00,12,Not Listed, 
   31-029-13012-00-00  ,  2 Winter's  ,  Winter Marvin J.  ,1987,0.00,0.00,0.00,12,Not Listed, 
   31-013-18724-00-00  ,  21205 Wiggers  ,  PPP Future Development Inc.  ,1987,0.00,6910.00,100.00,10,Not Listed, 
   31-013-18575-00-00  ,  21213 Bennink  ,  Columbia Gas Transmission LLC  ,1987,160.00,1698.00,40.00,2,Not Listed, 
   31-013-13064-00-00  ,  27 Castile 2  ,  P&H Gas LLC  ,1987,0.00,1520.00,0.00,12,Not Listed, 
   31-013-12948-00-00  ,  3 Joint Venture  ,  Cotton Well Drilling Company Inc.  ,1987,0.00,34666.00,0.00,12,Not Listed, 
   31-013-14388-00-00  ,  3118 Ferro Alloy  ,  Stedman Energy Inc.  ,1987,0.00,104.00,0.00,3,Not Listed, 
   31-013-14389-00-00  ,  3119 Ferro Alloy  ,  Stedman Energy Inc.  ,1987,0.00,262.00,0.00,3,Not Listed, 
   31-013-14390-00-00  ,  3120 Ferro Alloy  ,  Stedman Energy Inc.  ,1987,0.00,108.00,0.00,3,Not Listed, 
   31-013-14393-00-00  ,  3124 Warnshius  ,  Stedman Energy Inc.  ,1987,0.00,79.00,0.00,3,Not Listed, 
   31-013-14394-00-00  ,  3125 Besch  ,  Cotton Well Drilling Company Inc.  ,1987,0.00,1289.00,0.00,11,Not Listed, 
   31-013-14395-00-00  ,  3126 Besch  ,  Cotton Well Drilling Company Inc.  ,1987,0.00,877.00,0.00,6,Not Listed, 
   31-013-14396-00-00  ,  3127 Besch  ,  Cotton Well Drilling Company Inc.  ,1987,0.00,6126.00,0.00,11,Not Listed, 
   31-013-14771-00-00  ,  3129 Sweetman  ,  Cotton Well Drilling Company Inc.  ,1987,0.00,3826.00,0.00,11,Not Listed, 
   31-013-14399-00-00  ,  3130 Sweetman  ,  Cotton Well Drilling Company Inc.  ,1987,0.00,2792.00,0.00,11,Not Listed, 
   31-013-14400-00-00  ,  3131 Thompson  ,  Cotton Well Drilling Company Inc.  ,1987,0.00,2237.00,0.00,11,Not Listed, 
   31-013-14401-00-00  ,  3132 Thompson  ,  Cotton Well Drilling Company Inc.  ,1987,0.00,268.00,0.00,10,Not Listed, 
   31-013-14402-00-00  ,  3133 Mason  ,  Cotton Well Drilling Company Inc.  ,1987,0.00,787.00,0.00,12,Not Listed, 
   31-013-14406-00-00  ,  3136 Meaney  ,  Cotton Well Drilling Company Inc.  ,1987,0.00,642.00,0.00,12,Not Listed, 
   31-013-14405-00-00  ,  3137 Meaney  ,  Cotton Well Drilling Company Inc.  ,1987,0.00,1920.00,0.00,12,Not Listed, 
   31-013-15015-00-00  ,  3144 Stroebel (Weise)  ,  Weise Russell A. Jr. & Kay P.  ,1987,0.00,866.00,0.00,4,Not Listed, 
   31-013-15029-00-00  ,  3146 Smith  ,  Stedman Energy Inc.  ,1987,0.00,1069.00,0.00,7,Not Listed, 
   31-013-15030-00-00  ,  3147 Smith  ,  Stedman Energy Inc.  ,1987,0.00,1441.00,0.00,7,Not Listed, 
   31-013-14604-00-00  ,  3150 Brown  ,  Kettlebrook Energy Inc.  ,1987,0.00,791.00,0.00,9,Not Listed, 
   31-013-14607-00-00  ,  3153 Brown  ,  Kettlebrook Energy Inc.  ,1987,0.00,772.00,0.00,9,Not Listed, 
   31-013-14608-00-00  ,  3154 Brown  ,  Kettlebrook Energy Inc.  ,1987,0.00,871.00,0.00,8,Not Listed, 
   31-013-14609-00-00  ,  3155 Brown  ,  Kettlebrook Energy Inc.  ,1987,0.00,1135.00,0.00,11,Not Listed, 
   31-013-12950-00-00  ,  5 Joint Venture  ,  Cotton Well Drilling Company Inc.  ,1987,0.00,21195.00,60.00,12,Not Listed, 
   31-013-13878-00-00  ,  5000 Salhoff  ,  Cotton Well Drilling Company Inc.  ,1987,0.00,789.00,0.00,12,Not Listed, 
   31-013-13879-00-00  ,  5001 Salhoff  ,  Cotton Well Drilling Company Inc.  ,1987,0.00,965.00,0.00,12,Not Listed, 
   31-013-17947-00-00  ,  A Carlson Unit 1  ,  PPP Future Development Inc.  ,1987,0.00,2417.00,0.00,12,Not Listed, 
   31-013-17749-00-00  ,  A Fairbanks 1  ,  Cotton Well Drilling Company Inc.  ,1987,0.00,1065.00,0.00,12,Not Listed, 
   31-009-18071-00-00  ,  A Lumber 1  ,  Greenway Energy LLC  ,1987,0.00,2440.00,0.00,12,Not Listed, 
   31-029-17791-00-00  ,  A Mammoser 1  ,  Cotton Well Drilling Company Inc.  ,1987,0.00,716.00,0.00,8,Not Listed, 
   31-029-18665-00-00  ,  A Mammoser 3  ,  Cotton Well Drilling Company Inc.  ,1987,0.00,716.00,0.00,8,Not Listed, 
